Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Marque,Modele,Price_EUR
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,19.000000000000004,998.0,58.16,5,Maruti,Wagon R LXI CNG,1925
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5,Hyundai,Creta 1.6 CRDi SX Option,13750
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5,Honda,Jazz V,4950
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7,Maruti,Ertiga VDI,6600
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5,Audi,A4 New 2.0 TDI Multitronic,19514
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,15.071428571428573,814.0,55.2,5,Hyundai,EON LPG Era Plus Option,2585
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5,Nissan,Micra Diesel XV,3850
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8,Toyota,Innova Crysta 2.8 GX AT 8S,19250
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5,Volkswagen,Vento Diesel Comfortline,5720
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5,Tata,Indica Vista Quadrajet LS,2145
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5,Maruti,Ciaz Zeta,10945
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5,Honda,City 1.5 V AT Sunroof,4939
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5,Maruti,Swift VDI BSIV,6160
